Lokasi,Last Update,Suhu (C),Kelembapan (%),Kondisi,Angin (km/h),Arah Angin,UV Index,PM2.5,PM10,CO,NO2,O3,SO2,US EPA Index
Aimas,2025-11-19 17:30,26.8,86,Light rain shower,13.3,WNW,0.6,2.028,2.528,106.728,0.828,33.0,0.828,1
Beraur,2025-11-19 17:30,26.8,86,Light rain shower,13.3,WNW,0.6,2.028,2.528,106.728,0.828,33.0,0.828,1
Klamono,2025-11-19 17:30,28.1,76,Patchy rain nearby,14.4,WNW,0.8,3.25,3.35,115.85,1.45,38.0,1.95,1
Klaso,2025-11-19 17:30,26.8,86,Light rain shower,13.3,WNW,0.6,2.028,2.528,106.728,0.828,33.0,0.828,1
Klawak,2025-11-19 17:30,26.8,86,Light rain shower,13.3,WNW,0.6,2.028,2.528,106.728,0.828,33.0,0.828,1
Klayili,2025-11-19 17:30,26.8,86,Light rain shower,13.3,WNW,0.6,2.028,2.528,106.728,0.828,33.0,0.828,1
Makbon,2025-11-19 17:30,28.4,75,Patchy rain nearby,14.4,WNW,0.8,3.15,3.35,117.85,1.55,36.0,1.85,1
Maudus,2025-11-19 17:30,26.8,86,Light rain shower,13.3,WNW,0.6,2.028,2.528,106.728,0.828,33.0,0.828,1
Mayamuk,2025-11-19 17:30,26.8,86,Light rain shower,13.3,WNW,0.6,2.028,2.528,106.728,0.828,33.0,0.828,1
Moraid,2025-11-19 17:30,26.8,86,Light rain shower,13.3,WNW,0.6,2.028,2.528,106.728,0.828,33.0,0.828,1
Salawati,2025-11-19 17:30,26.8,86,Light rain shower,13.3,WNW,0.6,2.028,2.528,106.728,0.828,33.0,0.828,1
Salawati Selatan,2025-11-19 15:30,28.2,63,Light rain shower,5.4,N,4.1,163.85,163.85,787.85,50.45,81.0,23.55,5
Sayosa,2025-11-19 17:30,26.8,86,Light rain shower,13.3,WNW,0.6,2.028,2.528,106.728,0.828,33.0,0.828,1
Seget,2025-11-19 17:30,28.1,76,Patchy rain nearby,14.4,WNW,0.8,3.25,3.35,115.85,1.45,38.0,1.95,1
Segun,2025-11-19 17:30,26.8,86,Light rain shower,13.3,WNW,0.6,2.028,2.528,106.728,0.828,33.0,0.828,1
Sorong,2025-11-19 17:30,28.1,76,Patchy rain nearby,14.4,WNW,0.8,3.25,3.35,115.85,1.45,38.0,1.95,1
